Time_s,GS_ROM,GS_SVA,GS_MAU,GS_REU,Total_Throughput_Gbps,Active_ISL_Links,Active_SGL_Links
0.0,672.3205967863469,182.52684269077074,878.2880425206336,370.5231432104895,2103.6586252082407,63,9
10.0,673.5672855005021,183.3191745559033,878.2812770061649,370.52314249054297,2105.690879553113,63,9
20.0,674.7556136169012,184.0678954912381,878.2874063439072,370.52314178372734,2107.634057235774,63,9
30.0,675.8793449074435,184.74831795902375,878.2985957223943,370.52314109002214,2109.4493996788838,63,9
40.0,676.933281694369,185.33457446806065,878.3073428659519,370.5231404094021,2111.0983394377836,63,9
50.0,677.9134842029391,185.8008552499531,878.3067761970653,370.52313974183613,2112.5442553917937,63,9
60.0,678.8174459489951,186.12289412735151,878.2907824877273,370.52313908732975,2113.754261651404,63,9
70.0,679.6442094118132,186.2795754267608,878.2540292808303,370.52313844582153,2114.700952565226,63,9
80.0,680.394411231644,186.2544869069517,878.1919334223539,370.5231378173188,2115.3639693782684,65,9
90.0,681.0702526538358,186.03722111381737,878.1006095387345,370.52313720178716,2115.731220508175,66,9
100.0,681.6753980282516,185.62424174446247,877.9768176633103,370.5231365992141,2115.7995940352384,66,9
110.0,682.214810856377,185.01918498271556,877.8179190371493,370.523136009558,2115.5750508858,67,9
120.0,682.6945422293613,184.23254923966277,877.6218428764823,370.52313543279587,2115.0720697783026,67,9
130.0,683.1214898592838,183.280821373611,877.3870635489865,370.5231348689326,2114.312509650814,67,9
140.0,683.5031469893548,182.1851705543263,877.1125861632613,370.52313431791674,2113.324038024859,67,9
150.0,683.8473593839881,180.9698936867551,876.7979383223417,370.523133779736,2112.1383251728207,67,9
160.0,684.1621057660888,179.66080980946356,876.4431662417418,370.52313325435597,2110.7892150716502,67,9
170.0,684.4553130855361,178.2837777986489,876.0488342633536,370.5231327417842,2109.311057889323,67,9
180.0,684.7347134911477,176.86346355954046,875.6160277917866,370.5231322419694,2107.737337084444,67,9
190.0,685.0077453561922,175.422424813435,875.1463606640727,370.52313175489616,2106.0996625885964,67,9
200.0,685.2814964971981,173.9805272036502,874.6419887666722,370.52313128054175,2104.427143748062,67,9
210.0,685.5626839232467,172.5546636359946,874.1056321121514,370.52313081888525,2102.7461104902777,67,9
220.0,685.8576609373717,171.15872294872963,873.5406072651065,370.5231303699019,2101.08012152111,67,9
230.0,686.1724389060846,169.803743177317,872.9508704743752,370.5231299335696,2099.4501824913464,67,9
240.0,686.5127072064663,168.49818529886096,872.3410684137602,370.52312950985544,2097.875090428943,67,9
250.0,686.883830617448,167.24827108877423,871.7165871023577,370.5231290987643,2096.371817907344,68,9
260.0,687.2907991741147,166.05833971208767,871.0835793681559,370.5231287002367,2094.955846954595,68,9
270.0,687.7381028551533,164.9311890429215,870.4489367432909,370.523128314276,2093.6413569556416,67,9
280.0,688.2295060163906,163.8683777389394,869.8201547045663,370.5231279408617,2092.441166400758,67,9
290.0,688.7677103175737,162.87047207492614,869.2050273519305,370.5231275799398,2091.3663373243703,67,9
300.0,689.3539275501271,161.93722752708769,868.6111135105687,370.5231272315269,2090.4253958193103,65,9
310.0,689.987439108176,161.06769976508377,868.0449627218143,370.52312689557147,2089.6232284906455,65,9
320.0,690.6652861018306,160.26028420504358,867.5111935528312,370.5231265720592,2088.9598904317645,65,9
330.0,691.3822759062473,159.5126891384572,867.0116604111556,370.5231262609672,2088.4297517168275,65,9
340.0,692.1314484000889,158.82185634988565,866.5450464103807,370.52312596227154,2088.0214771226265,65,9
350.0,692.9049831544523,158.183856224383,866.1071559769985,370.5231256759523,2087.719121031786,65,9
360.0,693.668405489592,157.6490105324368,865.6279287104447,370.5231254019826,2087.4684701344563,65,8
370.0,694.482998197423,157.14305367968464,865.2578587677219,370.5231251403414,2087.407035785171,65,8
380.0,695.3722184825978,156.69527641835037,864.8854000513602,370.52312489099535,2087.4760198433037,65,9
390.0,696.2354318263745,156.30534682734418,864.5105686960933,370.5231246539499,2087.574472003762,65,9
400.0,697.1207995719166,155.97284197630688,864.13338079896,370.5231244291448,2087.7501467763286,65,9
410.0,698.0330261169179,155.69733599250395,863.7538524167022,370.523124216584,2088.007338742708,67,9
420.0,698.9756410427024,155.47858036029734,863.3719995627558,370.52312401624613,2088.3493449820016,67,9
430.0,699.9506118265261,155.30914990993028,862.987838204644,370.52312382808793,2088.7707237691884,67,8
